time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, prev_peer_as, prev_announc_as, path_presence
23:57:05-23:57:09,2,1,0,0,15,7018,50304,1
23:57:10-23:57:14,2,1,0,0,12,7018,50304,1
23:57:15-23:57:19,1,0,0,0,16,7018,50304,1
23:57:20-23:57:24,1,0,0,0,6,7018,50304,1
23:57:25-23:57:29,1,0,0,0,24,7018,50304,1
23:57:30-23:57:34,2,26,0,0,32,7018,50304,1
23:57:35-23:57:39,2,1,0,0,25,7018,50304,1
23:57:40-23:57:44,1,0,0,0,30,7018,50304,1
23:57:45-23:57:49,1,0,0,0,28,7018,50304,1
23:57:50-23:57:54,2,1,0,0,75,7018,50304,1
23:57:55-23:57:59,1,0,0,0,86,7018,50304,1
23:58:00-23:58:04,2,44,0,0,14,7018,50304,1
23:58:05-23:58:09,2,1,0,0,39,7018,50304,1
23:58:10-23:58:14,2,1,0,0,19,7018,50304,1
23:58:15-23:58:19,0,0,0,0,70,7018,50304,1
23:58:20-23:58:24,1,0,0,0,6,7018,50304,1
23:58:25-23:58:29,1,0,0,0,29,7018,50304,1
23:58:30-23:58:34,1,0,0,0,16,7018,50304,1
23:58:35-23:58:39,2,30,0,0,21,7018,50304,1
23:58:40-23:58:44,2,1,0,0,11,7018,50304,1
23:58:45-23:58:49,2,1,0,0,32,7018,50304,1
23:58:50-23:58:54,1,0,0,0,17,7018,50304,1
23:58:55-23:58:59,2,3,0,0,18,7018,50304,1
23:59:00-23:59:04,1,0,0,0,33,7018,50304,1
23:59:05-23:59:09,2,38,0,0,38,7018,50304,1
23:59:10-23:59:14,1,0,0,0,9,7018,50304,1
23:59:15-23:59:19,2,2,0,0,27,7018,50304,1
23:59:20-23:59:24,1,0,0,0,15,7018,50304,1
23:59:25-23:59:29,1,0,0,0,34,7018,50304,1
23:59:30-23:59:34,1,0,0,0,16,7018,50304,1
23:59:35-23:59:39,2,24,0,0,65,7018,50304,1
23:59:40-23:59:44,2,1,0,0,41,7018,50304,1
23:59:45-23:59:49,1,0,0,0,38,7018,50304,1
23:59:50-23:59:54,1,0,0,0,13,7018,50304,1
23:59:55-23:59:59,2,1,0,0,21,7018,50304,1
23:57:00-23:57:04,2,10,0,0,33,57821,34549,1
23:57:05-23:57:09,2,1,0,0,15,57821,34549,1
23:57:10-23:57:14,2,1,0,0,12,57821,34549,1
23:57:15-23:57:19,1,0,0,0,16,57821,34549,1
23:57:20-23:57:24,1,0,0,0,6,57821,34549,1
23:57:25-23:57:29,1,0,0,0,24,57821,34549,1
23:57:30-23:57:34,2,26,0,0,32,57821,34549,1
23:57:35-23:57:39,2,1,0,0,25,57821,34549,1
23:57:40-23:57:44,1,0,0,0,30,57821,34549,1
23:57:45-23:57:49,1,0,0,0,28,57821,34549,1
23:57:50-23:57:54,2,1,0,0,75,57821,34549,1
23:57:55-23:57:59,1,0,0,0,86,57821,34549,1
23:58:00-23:58:04,2,44,0,0,14,57821,34549,1
23:58:05-23:58:09,2,1,0,0,39,57821,34549,1
23:58:10-23:58:14,2,1,0,0,19,57821,34549,1
23:58:15-23:58:19,0,0,0,0,70,57821,34549,1
23:58:20-23:58:24,1,0,0,0,6,57821,34549,1
23:58:25-23:58:29,1,0,0,0,29,57821,34549,1
23:58:30-23:58:34,1,0,0,0,16,57821,34549,1
23:58:35-23:58:39,2,30,0,0,21,57821,34549,1
23:58:40-23:58:44,2,1,0,0,11,57821,34549,1
23:58:45-23:58:49,2,1,0,0,32,57821,34549,1
23:58:50-23:58:54,1,0,0,0,17,57821,34549,1
23:58:55-23:58:59,2,3,0,0,18,57821,34549,1
23:59:00-23:59:04,1,0,0,0,33,57821,34549,1
23:59:05-23:59:09,2,38,0,0,38,57821,34549,1
23:59:10-23:59:14,1,0,0,0,9,57821,34549,1
23:59:15-23:59:19,2,2,0,0,27,57821,34549,1
23:59:20-23:59:24,1,0,0,0,15,57821,34549,1
23:59:25-23:59:29,1,0,0,0,34,57821,34549,1
23:59:30-23:59:34,1,0,0,0,16,57821,34549,1
23:59:35-23:59:39,2,24,0,0,65,57821,34549,1
23:59:40-23:59:44,2,1,0,0,41,57821,34549,1
23:59:45-23:59:49,1,0,0,0,38,57821,34549,1
23:59:50-23:59:54,1,0,0,0,13,57821,34549,1
23:59:55-23:59:59,2,1,0,0,21,57821,34549,1
23:57:00-23:57:04,2,39,0,0,8,57821,34549,1
23:57:05-23:57:09,2,18,0,0,0,57821,34549,1
23:57:10-23:57:14,2,6,0,0,0,57821,34549,1
23:57:15-23:57:19,2,9,0,0,26,57821,34549,1
23:57:20-23:57:24,2,22,0,0,0,57821,34549,1
23:57:25-23:57:29,2,31,0,0,0,57821,34549,1
23:57:30-23:57:34,2,52,0,0,6,57821,34549,1
23:57:35-23:57:39,2,10,0,0,0,57821,34549,1
23:57:40-23:57:44,2,1,0,0,0,57821,34549,1
23:57:45-23:57:49,2,52,0,0,46,57821,34549,1
23:57:50-23:57:54,2,32,0,0,0,57821,34549,1
23:57:55-23:57:59,2,4,0,0,0,57821,34549,1
23:58:00-23:58:04,2,79,0,0,13,57821,34549,1
23:58:05-23:58:09,2,11,0,0,0,57821,34549,1
23:58:10-23:58:14,2,7,0,0,0,57821,34549,1
23:58:15-23:58:19,2,83,0,0,37,57821,34549,1
23:58:20-23:58:24,2,6,0,0,0,57821,34549,1
23:58:25-23:58:29,2,16,0,0,0,57821,34549,1
23:58:30-23:58:34,2,108,0,0,0,57821,34549,1
23:58:35-23:58:39,2,6,0,0,5,57821,34549,1
23:58:40-23:58:44,2,9,0,0,0,57821,34549,1
23:58:45-23:58:49,2,25,0,0,0,57821,34549,1
23:58:50-23:58:54,2,50,0,0,48,57821,34549,1
23:58:55-23:58:59,2,59,0,0,0,57821,34549,1
23:59:00-23:59:04,2,65,0,0,0,57821,34549,1
23:59:05-23:59:09,2,9,0,0,10,57821,34549,1
23:59:10-23:59:14,2,4,0,0,0,57821,34549,1
23:59:15-23:59:19,2,18,0,0,0,57821,34549,1
23:59:20-23:59:24,2,22,0,0,29,57821,34549,1
23:59:25-23:59:29,2,15,0,0,0,57821,34549,1
23:59:30-23:59:34,2,77,0,0,0,57821,34549,1
23:59:35-23:59:39,2,13,0,0,6,57821,34549,1
23:59:40-23:59:44,2,23,0,0,0,57821,34549,1
23:59:45-23:59:49,2,10,0,0,0,57821,34549,1
23:59:50-23:59:54,2,8,0,0,26,57821,34549,1
23:59:55-23:59:59,2,17,0,0,0,57821,34549,1
23:57:00-23:57:04,1,30,0,0,8,8758,50304,1
23:57:05-23:57:09,1,39,0,0,0,8758,50304,1
23:57:10-23:57:14,1,45,0,0,0,8758,50304,1
23:57:15-23:57:19,1,40,0,0,26,8758,50304,1
23:57:20-23:57:24,1,41,0,0,0,8758,50304,1
23:57:25-23:57:29,1,78,0,0,0,8758,50304,1
23:57:30-23:57:34,1,56,0,0,6,8758,50304,1
23:57:35-23:57:39,1,40,0,0,0,8758,50304,1
23:57:40-23:57:44,1,76,0,0,0,8758,50304,1
23:57:45-23:57:49,1,73,0,0,46,8758,50304,1
